date,day_name,total_messages,with_media,text_only,media_pct,peak_hour,peak_count
2025-12-17 00:00:00+00:00,Wednesday,2,2,0,100.0,18:00,1
2025-12-18 00:00:00+00:00,Thursday,8,8,0,100.0,04:00,1
2025-12-19 00:00:00+00:00,Friday,11,11,0,100.0,08:00,2
2025-12-20 00:00:00+00:00,Saturday,4,4,0,100.0,06:00,1
2025-12-21 00:00:00+00:00,Sunday,9,9,0,100.0,03:00,1
...,...,...,...,...,...,...,...
2026-04-13 00:00:00+00:00,Monday,248,170,78,68.5,12:00,29
2026-04-14 00:00:00+00:00,Tuesday,208,125,83,60.1,12:00,18
2026-04-15 00:00:00+00:00,Wednesday,233,137,96,58.8,14:00,25
2026-04-16 00:00:00+00:00,Thursday,314,176,138,56.1,11:00,29
2026-04-17 00:00:00+00:00,Friday,232,135,97,58.2,14:00,34
