spike_rank,timestamp,date,hour,day_of_week,day_name,message_count,media_count,text_only_count,media_pct,representative_message_id,representative_text,representative_preview,timestamp_label,candidate_label
1,2026-04-17 14:00:00+00:00,2026-04-17 00:00:00+00:00,14,4,Friday,34,22,12,64.7,17277,"🏃🏽‍♀️‍➡️🇮🇱 Jerusalem Marathon Draws 40,000 Runners Through Historic Streets as Former Hostage Rom Braslavski Leads E...","🏃🏽‍♀️‍➡️🇮🇱 Jerusalem Marathon Draws 40,000 Runners Through Historic Streets as Former Hostage Rom...",2026-04-17 14:00 UTC,"2026-04-17 14:00 UTC — 🏃🏽‍♀️‍➡️🇮🇱 Jerusalem Marathon Draws 40,000 Runners Through Historic Streets as Former Hostage..."
2,2026-04-05 17:00:00+00:00,2026-04-05 00:00:00+00:00,17,6,Sunday,30,27,3,90.0,74490,It was a joy to gather again with these dear brothers and sisters and experience such a warm welcome and fellowship ...,It was a joy to gather again with these dear brothers and sisters and experience such a warm...,2026-04-05 17:00 UTC,2026-04-05 17:00 UTC — It was a joy to gather again with these dear brothers and sisters and experience such a warm...
3,2026-04-16 11:00:00+00:00,2026-04-16 00:00:00+00:00,11,3,Thursday,29,23,6,79.3,75083,Foreign sources: “Israeli naval commandos are operating in the Arabian Sea to support the American naval blockade.”\...,Foreign sources: “Israeli naval commandos are operating in the Arabian Sea to support the...,2026-04-16 11:00 UTC,2026-04-16 11:00 UTC — Foreign sources: “Israeli naval commandos are operating in the Arabian Sea to support the...
4,2026-04-13 12:00:00+00:00,2026-04-13 00:00:00+00:00,12,0,Monday,29,22,7,75.9,74949,IDF: In a precise drone strike: IDF soldiers from the Commando Brigade eliminated Hezbollah terrorists who were prep...,IDF: In a precise drone strike: IDF soldiers from the Commando Brigade eliminated Hezbollah...,2026-04-13 12:00 UTC,2026-04-13 12:00 UTC — IDF: In a precise drone strike: IDF soldiers from the Commando Brigade eliminated Hezbollah...
5,2026-04-07 23:00:00+00:00,2026-04-07 00:00:00+00:00,23,1,Tuesday,27,14,13,51.9,74695,"An evening of Bible prophecy in historic Sapporo, Hokkaido, inside the 📍Sapporo Clock Tower. \n\nIt was my first tim...","An evening of Bible prophecy in historic Sapporo, Hokkaido, inside the 📍Sapporo Clock Tower. It...",2026-04-07 23:00 UTC,"2026-04-07 23:00 UTC — An evening of Bible prophecy in historic Sapporo, Hokkaido, inside the 📍Sapporo Clock Tower. ..."
6,2026-04-06 16:00:00+00:00,2026-04-06 00:00:00+00:00,16,0,Monday,26,17,9,65.4,17008,💔 HEARTBREAKING: Names Released Of Four Victims Killed In Haifa Missile Strike\n\nThe names have been cleared for pu...,💔 HEARTBREAKING: Names Released Of Four Victims Killed In Haifa Missile Strike The names have...,2026-04-06 16:00 UTC,2026-04-06 16:00 UTC — 💔 HEARTBREAKING: Names Released Of Four Victims Killed In Haifa Missile Strike The names have...
7,2026-04-15 14:00:00+00:00,2026-04-15 00:00:00+00:00,14,2,Wednesday,25,20,5,80.0,75036,"Prime Minister’s Office:\n\nPrime Minister Benjamin Netanyahu and Hungary’s Prime Minister-elect, Peter Magyar, held...","Prime Minister’s Office: Prime Minister Benjamin Netanyahu and Hungary’s Prime Minister-elect,...",2026-04-15 14:00 UTC,2026-04-15 14:00 UTC — Prime Minister’s Office: Prime Minister Benjamin Netanyahu and Hungary’s Prime Minister-elect...
8,2026-03-31 04:00:00+00:00,2026-03-31 00:00:00+00:00,4,1,Tuesday,25,10,15,40.0,74195,"Saudi Arabia, the UAE and other Gulf allies are privately urging Trump to keep fighting Iran, saying the regime hasn...","Saudi Arabia, the UAE and other Gulf allies are privately urging Trump to keep fighting Iran,...",2026-03-31 04:00 UTC,"2026-03-31 04:00 UTC — Saudi Arabia, the UAE and other Gulf allies are privately urging Trump to keep fighting Iran,..."
9,2026-04-16 12:00:00+00:00,2026-04-16 00:00:00+00:00,12,3,Thursday,25,8,17,32.0,75088,As compelling and symbolic as a peace agreement with Lebanon may appear - if it does not guarantee the security of I...,As compelling and symbolic as a peace agreement with Lebanon may appear - if it does not...,2026-04-16 12:00 UTC,2026-04-16 12:00 UTC — As compelling and symbolic as a peace agreement with Lebanon may appear - if it does not...
10,2026-04-11 11:00:00+00:00,2026-04-11 00:00:00+00:00,11,5,Saturday,24,21,3,87.5,184960,"📸 Ali Akbar Velayati, former-Foreign Minister and senior advisor to Iran’s Leader, says today’s diplomacy reflects I...","📸 Ali Akbar Velayati, former-Foreign Minister and senior advisor to Iran’s Leader, says today’s...",2026-04-11 11:00 UTC,"2026-04-11 11:00 UTC — 📸 Ali Akbar Velayati, former-Foreign Minister and senior advisor to Iran’s Leader, says today..."
