term,mover_type,first_rank,last_rank,delta,first_score,last_score,best_rank,max_score
ceasefire,riser,501.0,12.0,489.0,0.0,0.127991,12.0,0.127991
hormuz,riser,501.0,13.0,488.0,0.0,0.11136,13.0,0.11136
strait,riser,501.0,14.0,487.0,0.0,0.110636,14.0,0.110636
blockade,riser,501.0,22.0,479.0,0.0,0.075904,22.0,0.075904
islamabad,riser,501.0,26.0,475.0,0.0,0.073072,26.0,0.073072
protesters,faller,8.0,498.0,-490.0,0.148213,0.003547,8.0,0.148213
protests,faller,10.0,499.0,-489.0,0.143432,0.00266,10.0,0.143432
court,faller,25.0,488.0,-463.0,0.086059,0.006799,25.0,0.086059
briefing,faller,21.0,480.0,-459.0,0.095621,0.007686,21.0,0.095621
daily,faller,15.0,471.0,-456.0,0.105183,0.008277,15.0,0.105183
