segment_label,rank,term,mean_tfidf,other_segment_mean_tfidf,lift_vs_other
Media,1,iran,0.067276,0.055612,1.21
Media,2,trump,0.040358,0.031477,1.282
Media,3,iranian,0.031496,0.042642,0.739
Media,4,israeli,0.028695,0.035919,0.799
Media,5,war,0.028154,0.026041,1.081
Media,6,lebanon,0.025768,0.030943,0.833
Media,7,idf,0.025645,0.025546,1.004
Media,8,group,0.025306,0.038941,0.65
Media,9,follow,0.022592,0.038565,0.586
Media,10,links,0.021848,0.038371,0.569
Media,11,new,0.021474,0.011334,1.895
Media,12,president,0.021339,0.022847,0.934
Media,13,hezbollah,0.021247,0.028566,0.744
Media,14,netanyahu,0.021154,0.01263,1.675
Media,15,talks,0.020776,0.009207,2.257
Text-only,1,iran,0.055612,0.067276,0.827
Text-only,2,iranian,0.042642,0.031496,1.354
Text-only,3,group,0.038941,0.025306,1.539
Text-only,4,follow,0.038565,0.022592,1.707
Text-only,5,links,0.038371,0.021848,1.756
Text-only,6,israeli,0.035919,0.028695,1.252
Text-only,7,trump,0.031477,0.040358,0.78
Text-only,8,lebanon,0.030943,0.025768,1.201
Text-only,9,hezbollah,0.028566,0.021247,1.344
Text-only,10,tehran,0.026074,0.014411,1.809
Text-only,11,war,0.026041,0.028154,0.925
Text-only,12,idf,0.025546,0.025645,0.996
Text-only,13,missile,0.025175,0.018791,1.34
Text-only,14,president,0.022847,0.021339,1.071
Text-only,15,regime,0.020717,0.015347,1.35
