bigram,status,first_rank,second_rank,first_pmi,second_pmi,first_frequency,second_frequency
ayal uriel,new,,1,,14.511361,,3
bnei brak,new,,2,,14.511361,,3
jacob magid,new,,3,,14.511361,,3
keir starmer,new,,4,,14.511361,,3
kohgiluyeh boyer,new,,5,,14.511361,,3
ladies gentlemen,new,,6,,14.511361,,3
mahdieh esfandiari,new,,7,,14.511361,,3
mondays pdt,new,,8,,14.511361,,3
scott bessent,new,,9,,14.511361,,3
tickets asap,new,,10,,14.511361,,3
uriel bianco,new,,11,,14.511361,,3
tofiq daru,new,,13,,14.511361,,3
adolf hitler,new,,14,,14.096324,,3
emanuel fabian,new,,15,,14.096324,,3
meetings mondays,new,,16,,14.096324,,3
rafi milo,new,,17,,14.096324,,3
wishful thinking,new,,18,,14.096324,,3
suez canal,new,,19,,14.096324,,3
burning judas,new,,20,,14.096324,,4
konrad berkowicz,new,,21,,14.096324,,4
nasir kazmi,new,,22,,14.096324,,4
polish konrad,new,,23,,14.096324,,4
nouri hamedani,new,,24,,14.096324,,4
alex jones,new,,25,,14.096324,,4
ivan kesic,new,,26,,13.774396,,5
yom hashoah,new,,27,,13.774396,,5
thenextwarbook com,new,,28,,13.774396,,4
megyn kelly,new,,29,,13.774396,,4
nabih berri,new,,30,,13.774396,,4
karoline leavitt,new,,32,,13.774396,,3
