timestamp,message_count,sentiment_mean,sentiment_change,representative_emotion,representative_text
2026-04-17 14:00:00+00:00,26,0.045052,0.073413,joy,"Trump: Thank you to Pakistan and its Great Prime Minister and Field Marshall, two fantastic..."
2026-04-16 12:00:00+00:00,25,-0.146346,0.281593,fear,War Secretary Hegseth: Threatening to shoot missiles and drones at ships - commercial ships that...
2026-04-17 13:00:00+00:00,21,0.118466,0.23261,joy,Trump celebrates after Iran announces reopening of Hormuz 'for full passage' Read more:
2026-04-13 23:00:00+00:00,21,-0.082286,0.198605,sadness,"️ Today, Israel stands still in memory of six million Jews who were murdered simply for being..."
2026-03-31 04:00:00+00:00,19,-0.227144,0.273088,disgust,Netanyahu on Europe: Many European countries have shown remarkable weakness in the face of a...
2026-02-17 22:00:00+00:00,1,0.967076,1.019935,joy,Jubilant Israeli team celebrates last-place finish in Olympic 2-man bobsleigh event With eyes...
2026-04-05 02:00:00+00:00,1,0.964548,0.964548,fear,Happy Resurrection Sunday from Amir and the Behold Israel Team! May the Lord bless you as you...
2026-04-03 02:00:00+00:00,1,0.960548,0.960548,joy,Shalom from Japan! Today I am preparing for my first-ever conference based on my New York Times...
2026-04-05 05:00:00+00:00,1,0.945476,0.487087,joy,"🇺🇸 BREAKING - President Trump on Truth Social: “WE GOT HIM! My fellow Americans, over the past..."
2026-01-22 18:00:00+00:00,1,0.928168,1.57939,joy,Miracle on ice: Israel's bobsleigh team clinches spot at 2026 Winter Olympics After championing...
