topic_id,topic_label,message_count,keyword_preview,top_keywords
75,"Topic 75: strait, hormuz, strait hormuz",188,"strait, hormuz, strait hormuz","strait, hormuz, strait hormuz, iran, blockade, iranian, naval, irgc, gulf, vessels"
88,"Topic 88: trump, iran, president",179,"trump, iran, president","trump, iran, president, war, nuclear, trump iran, hormuz, president trump, strait, end"
26,"Topic 26: missile, injured, iranian",164,"missile, injured, iranian","missile, injured, iranian, people, impact, israel, condition, ballistic missile, ballistic, iranian missile"
51,"Topic 51: jbn links, links, jbn",163,"jbn links, links, jbn","jbn links, links, jbn, follow jbn, group follow, group, follow, iran, iranian, air"
45,"Topic 45: hezbollah, idf, group",101,"hezbollah, idf, group","hezbollah, idf, group, follow, follow jbn, group follow, jbn links, links, jbn, lebanon"
...,...,...,...,...
78,"Topic 78: modi, prime minister, prime",15,"modi, prime minister, prime","modi, prime minister, prime, minister, visit, netanyahu, israel, indian, narendra, narendra modi"
55,"Topic 55: hezbollah, idf, southern",15,"hezbollah, idf, southern","hezbollah, idf, southern, terrorist, lebanon, command, operation, strike, eliminated, unit"
6,"Topic 6: rafah, crossing, gaza",15,"rafah, crossing, gaza","rafah, crossing, gaza, rafah crossing, egypt, israel, humanitarian, security, passage, gazans"
11,"Topic 11: ceasefire, displaced, southern",15,"ceasefire, displaced, southern","ceasefire, displaced, southern, residents, lebanon, effect, displaced residents, lebanese, southern lebanon, souther..."
-1,Noise / Mixed,1041,outlier / mixed,
