entity_1,entity_2,weight,first_seen,last_seen,example_text
Iran,US,269,2026-04-07 06:13:51+00:00,2026-04-14 16:39:41+00:00,"Nepal has extended weekends to two days amid a fuel crisis triggered by the US-Israeli war on Iran, due to rising..."
Israeli,US,93,2026-04-07 06:32:01+00:00,2026-04-14 13:20:01+00:00,‘Such barbarism is unprecedented in modern history’: Iran condemns US-Israeli attacks on universities Iran has...
Iran,Israeli,91,2026-04-07 06:32:01+00:00,2026-04-14 13:20:01+00:00,‘Such barbarism is unprecedented in modern history’: Iran condemns US-Israeli attacks on universities Iran has...
Israeli,Lebanon,68,2026-04-08 04:55:16+00:00,2026-04-14 08:30:01+00:00,Four people were killed after Israeli forces targeted an ambulance in southern Lebanon. @PressTV
Iranian,US,64,2026-04-07 07:56:38+00:00,2026-04-14 16:30:25+00:00,"Iranian strike injures 15 US troops in Kuwait, report says amid Washington’s ‘cover-up’ drive An Iranian retaliatory..."
Iran,Iranian,56,2026-04-07 11:20:11+00:00,2026-04-14 11:05:01+00:00,Two pharmacists killed as US-Israeli aggression targets 25 Iranian pharma units in 40 days American and Zionist...
Iran,Islamabad,53,2026-04-07 23:19:15+00:00,2026-04-14 09:30:22+00:00,"""These negotiations will begin in Islamabad on Friday, April 10th [21 Farvardin], with complete distrust of the..."
Islamabad,US,49,2026-04-09 09:45:37+00:00,2026-04-13 23:34:09+00:00,"Pakistan has declared an immediate two-day holiday in Islamabad, closing government offices Thursday and Friday to..."
Trump,US,49,2026-04-07 10:39:13+00:00,2026-04-14 16:39:41+00:00,▶️ We are talking about regime change. Yes. But in the US. And here’s how some users online reacted to what has been...
Iran,Israel,45,2026-04-07 10:07:58+00:00,2026-04-14 16:59:41+00:00,Jews of Iran - Part 1 On the Brink: Why I Came to Iran Jewish American journalist Max Blumenthal arrives in Iran as...
Iran,Trump,42,2026-04-07 16:23:16+00:00,2026-04-14 16:39:41+00:00,Trump's Iran 'civilization' post on social media SCREAMS IMPEACHMENT! Press TV's full interview with former U.S....
Israel,US,42,2026-04-07 14:40:00+00:00,2026-04-14 08:55:11+00:00,The US and Israel have attacked a synagogue in a Jewish neighborhood in central Tehran. Press TV's Moeen Amini...
Iran,Lebanon,32,2026-04-08 13:05:01+00:00,2026-04-13 23:41:02+00:00,▶️ Israel launched a new wave of deadly attacks on southern Lebanon just hours after the US agreed to a two-week...
Iran,Pakistan,30,2026-04-08 13:00:18+00:00,2026-04-14 09:45:01+00:00,"President of the European Council, António Costa, says the EU welcomes the two-week ceasefire announced between Iran..."
Iranian,Israeli,25,2026-04-07 11:20:11+00:00,2026-04-14 11:05:01+00:00,Two pharmacists killed as US-Israeli aggression targets 25 Iranian pharma units in 40 days American and Zionist...
Pakistan,US,25,2026-04-07 23:56:03+00:00,2026-04-14 09:45:01+00:00,🇵🇰 Pakistan’s Prime Minister Shehbaz Sharif: I am pleased to announce that the Islamic Republic of Iran and the...
Iran,Tehran,24,2026-04-07 11:10:07+00:00,2026-04-14 13:05:00+00:00,"Rabbi Younes Hammami Lalezar, leader of Iran's Jewish community, stands before the ruins of a synagogue in central..."
American,Iran,23,2026-04-07 10:07:58+00:00,2026-04-13 10:10:07+00:00,Jews of Iran - Part 1 On the Brink: Why I Came to Iran Jewish American journalist Max Blumenthal arrives in Iran as...
American,US,21,2026-04-07 07:56:38+00:00,2026-04-13 10:10:07+00:00,"Iranian strike injures 15 US troops in Kuwait, report says amid Washington’s ‘cover-up’ drive An Iranian retaliatory..."
Israeli,Lebanese,21,2026-04-08 03:18:52+00:00,2026-04-14 06:40:05+00:00,Israeli regime forces strike a vehicle in the Lebanese city of Tyre. @PressTV
Hezbollah,Lebanon,20,2026-04-08 18:04:28+00:00,2026-04-13 23:41:02+00:00,"IOF announces the death of 20 year-old Staff Sergeant Touvel Yosef Lifshiz, who was killed in clashes with Hezbollah..."
Hormuz,Iran,20,2026-04-07 23:07:32+00:00,2026-04-14 16:39:41+00:00,Supreme national security council: Iran achieved historic victory by forcing criminal US to accept its 10-point plan....
Lebanon,US,20,2026-04-08 13:05:01+00:00,2026-04-13 23:41:02+00:00,▶️ Israel launched a new wave of deadly attacks on southern Lebanon just hours after the US agreed to a two-week...
Iranian,Tehran,18,2026-04-07 13:48:26+00:00,2026-04-13 09:45:02+00:00,Iranian synagogue destroyed in US-Israeli overnight airstrike on Tehran A historic synagogue belonging to the Jewish...
Tehran,US,18,2026-04-07 11:10:07+00:00,2026-04-14 13:05:00+00:00,"Rabbi Younes Hammami Lalezar, leader of Iran's Jewish community, stands before the ruins of a synagogue in central..."
Israel,Lebanon,17,2026-04-08 04:00:16+00:00,2026-04-13 23:41:02+00:00,"Netanyahu, the Prime Minister of the Zionist regime, said that Israel supports the decision to suspend attacks for..."
Hormuz,US,16,2026-04-07 23:07:32+00:00,2026-04-14 16:39:41+00:00,Supreme national security council: Iran achieved historic victory by forcing criminal US to accept its 10-point plan....
Iranian,Islamabad,16,2026-04-10 14:35:08+00:00,2026-04-13 23:34:09+00:00,Iran’s 10-point proposal to form basis of talks with US in Islamabad: Senior diplomat A senior Iranian diplomat says...
American,Israeli,15,2026-04-07 11:20:11+00:00,2026-04-13 09:45:02+00:00,Two pharmacists killed as US-Israeli aggression targets 25 Iranian pharma units in 40 days American and Zionist...
Beirut,Israeli,15,2026-04-08 11:55:01+00:00,2026-04-10 16:20:08+00:00,"▶️ Footage captures the aftermath of the Israeli attacks on the Lebanese capital, Beirut. @PressTV"
Israel,Israeli,15,2026-04-07 15:20:02+00:00,2026-04-14 11:15:01+00:00,Israel’s air defenses overwhelmed by cluster-warhead Iranian missiles: Reports Iran’s changing tactics in firing...
American,Iranian,14,2026-04-07 07:56:38+00:00,2026-04-14 11:54:48+00:00,"Iranian strike injures 15 US troops in Kuwait, report says amid Washington’s ‘cover-up’ drive An Iranian retaliatory..."
Hezbollah,Israeli,14,2026-04-09 02:15:00+00:00,2026-04-14 09:10:04+00:00,Hezbollah returns fire with fire; vows to sustain strikes until US-Israeli aggression ends Lebanon's Hezbollah...
