entity,message_count,entity_type,top_surface_form,surface_forms,unique_surface_forms,graph_degree,weighted_degree,community_label
Iran,458,GPE,Iran,"Iran, Islamic Republic",2,79,1034.0,C1
US,393,GPE,US,"US, the United States, America, U.S., The United States",7,69,920.0,C1
Israeli,227,NORP,Israeli,Israeli,1,47,493.0,C2
Iranian,150,NORP,Iranian,Iranian,1,41,330.0,C4
Lebanon,115,GPE,Lebanon,Lebanon,1,32,247.0,C2
Trump,90,PERSON,Trump,"Trump, Donald Trump",2,20,164.0,C1
Israel,72,GPE,Israel,Israel,1,24,176.0,C1
Tehran,68,GPE,Tehran,Tehran,1,20,128.0,C4
Islamabad,64,GPE,Islamabad,Islamabad,1,20,182.0,C1
Hezbollah,47,ORG,Hezbollah,Hezbollah,1,11,89.0,C2
American,42,NORP,American,American,1,17,106.0,C1
Pakistan,38,GPE,Pakistan,Pakistan,1,14,114.0,C1
Ayatollah Seyyed Ali Khamenei,32,PERSON,Ayatollah Seyyed Ali Khamenei,Ayatollah Seyyed Ali Khamenei,1,7,36.0,C4
Hormuz,31,PERSON,Hormuz,Hormuz,1,8,52.0,C1
Lebanese,30,NORP,Lebanese,Lebanese,1,10,61.0,C2
IRGC,29,ORG,IRGC,IRGC,1,11,46.0,C5
Iranians,29,NORP,Iranians,Iranians,1,9,40.0,C4
Beirut,25,GPE,Beirut,Beirut,1,7,41.0,C2
Zionist,23,NORP,Zionist,Zionist,1,10,56.0,C2
Press TV's,22,ORG,Press TV's,"Press TV's, Press TV’s",2,10,44.0,C1
Pakistani,19,NORP,Pakistani,Pakistani,1,11,57.0,C4
Abbas Araghchi,16,PERSON,Abbas Araghchi,Abbas Araghchi,1,8,36.0,C1
Washington,16,GPE,Washington,Washington,1,7,37.0,C1
Masoud Pezeshkian,15,PERSON,Masoud Pezeshkian,Masoud Pezeshkian,1,5,30.0,C4
Palestine,15,GPE,Palestine,Palestine,1,4,19.0,C2
Pezeshkian,15,PERSON,Pezeshkian,Pezeshkian,1,7,35.0,C4
Gaza,13,GPE,Gaza,Gaza,1,5,15.0,C2
Netanyahu,13,PERSON,Netanyahu,Netanyahu,1,7,33.0,C1
China,12,GPE,China,China,1,7,25.0,C6
Qalibaf,12,PERSON,Qalibaf,Qalibaf,1,8,31.0,C1
Iraq,11,GPE,Iraq,Iraq,1,4,11.0,C1
Parliament,11,ORG,Parliament,Parliament,1,8,33.0,C1
Isfahan,10,ORG,Isfahan,Isfahan,1,4,19.0,C3
Jewish,10,NORP,Jewish,Jewish,1,7,31.0,C4
Leo XIV,10,PERSON,Leo XIV,Leo XIV,1,5,18.0,C1
Tel Aviv,10,GPE,Tel Aviv,Tel Aviv,1,6,16.0,C1
the Islamic Republic,10,GPE,the Islamic Republic,the Islamic Republic,1,4,18.0,C4
Ayatollah Khamenei,9,PERSON,Ayatollah Khamenei,Ayatollah Khamenei,1,2,8.0,C4
Foreign Ministry,9,ORG,Foreign Ministry,Foreign Ministry,1,6,23.0,C1
Naim Qassem,9,PERSON,Naim Qassem,Naim Qassem,1,4,21.0,C2
Shehbaz Sharif,9,PERSON,Shehbaz Sharif,Shehbaz Sharif,1,9,35.0,C4
UN,9,ORG,UN,"UN, the United Nations",2,4,20.0,C1
the Iranian Armed Forces,9,ORG,the Iranian Armed Forces,the Iranian Armed Forces,1,4,16.0,C4
Handala,8,ORG,Handala,Handala,1,2,4.0,C6
Mohammad Reza Aref,8,PERSON,Mohammad Reza Aref,Mohammad Reza Aref,1,4,13.0,C1
Russia,8,GPE,Russia,Russia,1,5,17.0,C6
️ Footage,8,PERSON,️ Footage,️ Footage,1,6,14.0,C2
Baghdad,7,GPE,Baghdad,Baghdad,1,6,18.0,C1
Bahrain,7,GPE,Bahrain,Bahrain,1,6,15.0,C6
Iraqi,7,NORP,Iraqi,Iraqi,1,6,13.0,C1
JD Vance,7,PERSON,JD Vance,JD Vance,1,5,19.0,C1
Mohammad Bagher Ghalibaf,7,PERSON,Mohammad Bagher Ghalibaf,Mohammad Bagher Ghalibaf,1,7,25.0,C4
Mohammad Baqer Qalibaf,7,PERSON,Mohammad Baqer Qalibaf,Mohammad Baqer Qalibaf,1,7,21.0,C1
Palestinian,7,NORP,Palestinian,Palestinian,1,2,6.0,C2
Seyyed Abbas,7,PERSON,Seyyed Abbas,Seyyed Abbas,1,3,12.0,C1
Yemen,7,GPE,Yemen,Yemen,1,4,16.0,C1
Americans,6,NORP,Americans,Americans,1,4,15.0,C1
Iraqis,6,NORP,Iraqis,Iraqis,1,5,15.0,C1
Kuwait,6,GPE,Kuwait,Kuwait,1,3,9.0,C4
Pope,6,PERSON,Pope,Pope,1,4,13.0,C1
Press TV Exclusive,6,ORG,Press TV Exclusive,Press TV Exclusive,1,4,14.0,C1
Qatar,6,GPE,Qatar,Qatar,1,3,12.0,C4
Spain,6,GPE,Spain,Spain,1,4,14.0,C2
the Islamic Republic of Iran,6,GPE,the Islamic Republic of Iran,the Islamic Republic of Iran,1,3,6.0,C4
Ali Khamenei,5,PERSON,Ali Khamenei,Ali Khamenei,1,0,0.0,—
Congress,5,ORG,Congress,Congress,1,3,11.0,C1
France,5,GPE,France,France,1,1,2.0,C2
French,5,NORP,French,French,1,2,4.0,C2
Maryam Azarchehr,5,ORG,Maryam Azarchehr,Maryam Azarchehr,1,3,11.0,C1
Max Blumenthal,5,PERSON,Max Blumenthal,Max Blumenthal,1,4,12.0,C1
Nahariya,5,ORG,Nahariya,Nahariya,1,2,5.0,C2
Seyyed Kamal Kharazi,5,PERSON,Seyyed Kamal Kharazi,Seyyed Kamal Kharazi,1,3,7.0,C4
Turkish,5,NORP,Turkish,Turkish,1,2,5.0,C2
UK,5,GPE,UK,UK,1,1,2.0,C1
the Quds Force,5,ORG,the Quds Force,the Quds Force,1,4,10.0,C5
Ali Akbar Velayati,4,PERSON,Ali Akbar Velayati,Ali Akbar Velayati,1,1,4.0,C1
Baghaei,4,ORG,Baghaei,Baghaei,1,4,11.0,C1
Benjamin Netanyahu,4,PERSON,Benjamin Netanyahu,Benjamin Netanyahu,1,4,13.0,C1
Bushehr,4,GPE,Bushehr,Bushehr,1,2,5.0,C2
Islamic Revolution Guards Corps,4,ORG,Islamic Revolution Guards Corps,Islamic Revolution Guards Corps,1,2,8.0,C5
Nasir Kazmi,4,PERSON,Nasir Kazmi,Nasir Kazmi,1,5,16.0,C1
Palestinians,4,NORP,Palestinians,Palestinians,1,2,5.0,C2
Russian,4,NORP,Russian,Russian,1,2,6.0,C1
Saudi Arabia,4,GPE,Saudi Arabia,Saudi Arabia,1,4,9.0,C6
Spanish,4,NORP,Spanish,Spanish,1,2,4.0,C2
Turkey,4,GPE,Turkey,Turkey,1,1,2.0,C2
Yemeni,4,NORP,Yemeni,Yemeni,1,1,2.0,C1
Army,3,ORG,Army,Army,1,1,3.0,C1
Ayatollah Nouri Hamedani,3,PERSON,Ayatollah Nouri Hamedani,Ayatollah Nouri Hamedani,1,2,4.0,C4
Enghelab Sq,3,PERSON,Enghelab Sq,Enghelab Sq,1,2,5.0,C4
Exposé,3,PERSON,Exposé,Exposé,1,0,0.0,—
Gaza City,3,GPE,Gaza City,Gaza City,1,2,4.0,C2
IRGC Quds Force,3,ORG,IRGC Quds Force,IRGC Quds Force,1,2,4.0,C5
India,3,GPE,India,India,1,2,4.0,C1
Istanbul,3,GPE,Istanbul,Istanbul,1,2,5.0,C2
Italy,3,GPE,Italy,Italy,1,2,4.0,C2
Jahan Sq,3,PERSON,Jahan Sq,Jahan Sq,1,2,6.0,C3
Jews,3,NORP,Jews,Jews,1,2,6.0,C4
Kamal Kharrazi,3,PERSON,Kamal Kharrazi,Kamal Kharrazi,1,0,0.0,—
Leader,3,ORG,Leader,Leader,1,0,0.0,—
Mehdi Fazaeli,3,PERSON,Mehdi Fazaeli,Mehdi Fazaeli,1,3,8.0,C1
Muslim,3,NORP,Muslim,Muslim,1,0,0.0,—
Nabatieh,3,ORG,Nabatieh,Nabatieh,1,2,6.0,C2
Naghsh-e,3,GPE,Naghsh-e,Naghsh-e,1,2,6.0,C3
Navy,3,ORG,Navy,Navy,1,2,4.0,C5
Oman,3,GPE,Oman,Oman,1,3,6.0,C2
Pope Leo,3,PERSON,Pope Leo,Pope Leo,1,1,2.0,C1
Qana,3,GPE,Qana,Qana,1,2,6.0,C2
Reuters,3,ORG,Reuters,Reuters,1,2,4.0,C1
Shahabiyeh,3,NORP,Shahabiyeh,Shahabiyeh,1,2,6.0,C2
Sidon,3,GPE,Sidon,Sidon,1,3,7.0,C2
Tadhg Hickey,3,PERSON,Tadhg Hickey,Tadhg Hickey,1,1,2.0,C1
The Islamic Revolution Guards Corps,3,ORG,The Islamic Revolution Guards Corps,The Islamic Revolution Guards Corps,1,1,3.0,C5
Tucker Carlson,3,PERSON,Tucker Carlson,Tucker Carlson,1,2,5.0,C1
Tyre,3,GPE,Tyre,Tyre,1,2,5.0,C2
US Air Force,3,ORG,US Air Force,US Air Force,1,0,0.0,—
Urmia,3,GPE,Urmia,Urmia,1,1,2.0,C4
Vienna,3,GPE,Vienna,Vienna,1,1,2.0,C1
al-Quds,3,ORG,al-Quds,al-Quds,1,1,2.0,C2
Afghanistan,2,GPE,Afghanistan,Afghanistan,1,0,0.0,—
Al-Aqsa Mosque,2,ORG,Al-Aqsa Mosque,Al-Aqsa Mosque,1,0,0.0,—
Al-Bazouriyeh,2,ORG,Al-Bazouriyeh,Al-Bazouriyeh,1,0,0.0,—
Amir Saeid Iravani,2,PERSON,Amir Saeid Iravani,Amir Saeid Iravani,1,0,0.0,—
Ansarullah,2,PERSON,Ansarullah,Ansarullah,1,0,0.0,—
Arab,2,NORP,Arab,Arab,1,0,0.0,—
Araghchi,2,GPE,Araghchi,Araghchi,1,0,0.0,—
Armenian,2,NORP,Armenian,Armenian,1,0,0.0,—
Asian,2,NORP,Asian,Asian,1,0,0.0,—
Australia,2,GPE,Australia,Australia,1,0,0.0,—
Ayatollah Seyyed,2,PERSON,Ayatollah Seyyed,Ayatollah Seyyed,1,0,0.0,—
Bernat Lautaro,2,PERSON,Bernat Lautaro,Bernat Lautaro,1,0,0.0,—
Bernie Sanders,2,PERSON,Bernie Sanders,Bernie Sanders,1,0,0.0,—
Brazil,2,GPE,Brazil,Brazil,1,0,0.0,—
Britain,2,GPE,Britain,Britain,1,0,0.0,—
Bureij,2,PERSON,Bureij,Bureij,1,0,0.0,—
CENTCOM,2,ORG,CENTCOM,CENTCOM,1,0,0.0,—
Canada,2,GPE,Canada,Canada,1,0,0.0,—
Chris Murphy,2,PERSON,Chris Murphy,Chris Murphy,1,0,0.0,—
Christian,2,NORP,Christian,Christian,1,0,0.0,—
Colombia,2,GPE,Colombia,Colombia,1,0,0.0,—
Cynthia McKinney,2,PERSON,Cynthia McKinney,Cynthia McKinney,1,0,0.0,—
Democratic,2,NORP,Democratic,Democratic,1,0,0.0,—
Democrats,2,NORP,Democrats,Democrats,1,0,0.0,—
Dieter Reinisch,2,PERSON,Dieter Reinisch,Dieter Reinisch,1,0,0.0,—
European,2,NORP,European,European,1,0,0.0,—
Geneva,2,GPE,Geneva,Geneva,1,0,0.0,—
German,2,NORP,German,German,1,0,0.0,—
Hakeem Jeffries,2,PERSON,Hakeem Jeffries,Hakeem Jeffries,1,0,0.0,—
Hamas,2,ORG,Hamas,Hamas,1,0,0.0,—
Herzi Halevi,2,PERSON,Herzi Halevi,Herzi Halevi,1,0,0.0,—
Hormuz Strait,2,PERSON,Hormuz Strait,Hormuz Strait,1,0,0.0,—
Hungary,2,GPE,Hungary,Hungary,1,0,0.0,—
IRGC Navy,2,ORG,IRGC Navy,IRGC Navy,1,0,0.0,—
Imam Khamenei,2,PERSON,Imam Khamenei,Imam Khamenei,1,0,0.0,—
Imam Sayyid,2,PERSON,Imam Sayyid,Imam Sayyid,1,0,0.0,—
Indonesia,2,GPE,Indonesia,Indonesia,1,0,0.0,—
Irans,2,NORP,Irans,Irans,1,0,0.0,—
Ireland,2,GPE,Ireland,Ireland,1,0,0.0,—
Isfahan operation Information,2,ORG,Isfahan operation Information,Isfahan operation Information,1,0,0.0,—
Ishaq Dar,2,PERSON,Ishaq Dar,Ishaq Dar,1,0,0.0,—
Islamic,2,NORP,Islamic,Islamic,1,0,0.0,—
Isra,2,GPE,Isra,Isra,1,0,0.0,—
Joe Lauria,2,PERSON,Joe Lauria,Joe Lauria,1,0,0.0,—
Jordan,2,GPE,Jordan,Jordan,1,0,0.0,—
Kamal Sharaf,2,PERSON,Kamal Sharaf,Kamal Sharaf,1,0,0.0,—
Kazem Gharibabadi,2,PERSON,Kazem Gharibabadi,Kazem Gharibabadi,1,0,0.0,—
Kiryat Shmona,2,PERSON,Kiryat Shmona,Kiryat Shmona,1,0,0.0,—
Kuwaiti,2,GPE,Kuwaiti,Kuwaiti,1,0,0.0,—
L'Espresso,2,PERSON,L'Espresso,L'Espresso,1,0,0.0,—
Leader of Islamic,2,ORG,Leader of Islamic,Leader of Islamic,1,0,0.0,—
Leadership,2,PERSON,Leadership,Leadership,1,0,0.0,—
London,2,GPE,London,London,1,0,0.0,—
Macron,2,PERSON,Macron,Macron,1,0,0.0,—
Majid Khademi,2,PERSON,Majid Khademi,Majid Khademi,1,0,0.0,—
Marwa Osman,2,PERSON,Marwa Osman,Marwa Osman,1,0,0.0,—
Mexico,2,GPE,Mexico,Mexico,1,0,0.0,—
Moeen Amini,2,PERSON,Moeen Amini,Moeen Amini,1,0,0.0,—
Mohsen Rezaei,2,PERSON,Mohsen Rezaei,Mohsen Rezaei,1,0,0.0,—
Mojtaba Khamenei,2,PERSON,Mojtaba Khamenei,Mojtaba Khamenei,1,0,0.0,—
NATO,2,ORG,NATO,NATO,1,0,0.0,—
Nawar Faeq,2,PERSON,Nawar Faeq,Nawar Faeq,1,0,0.0,—
