term,mover_type,first_rank,last_rank,delta,first_score,last_score,best_rank,max_score
blockade,riser,501.0,3.0,498.0,0.0,0.3052201728580351,3.0,0.3052201728580351
naval,riser,501.0,12.0,489.0,0.0,0.14307195602720396,12.0,0.14307195602720396
talks,riser,501.0,27.0,474.0,0.0,0.0772193859374159,1.0,0.45540340775809435
islamabad,riser,415.0,29.0,386.0,0.00464804611022376,0.06944509860669425,3.0,0.2956675708610479
pope,riser,391.0,7.0,384.0,0.005685227625931289,0.18532652624979815,7.0,0.18532652624979815
victory,faller,13.0,501.0,-488.0,0.10233409726676318,0.0,13.0,0.10233409726676318
synagogue,faller,20.0,501.0,-481.0,0.0890700768234551,0.0,20.0,0.0890700768234551
forced,faller,24.0,501.0,-477.0,0.08426864596526279,0.0,24.0,0.08426864596526279
beirut,faller,26.0,501.0,-475.0,0.07959318676303805,0.0,26.0,0.07959318676303805
late,faller,134.0,501.0,-367.0,0.028426138129656442,0.0,14.0,0.14670403089196646
