segment_label,rank,term,mean_tfidf,other_segment_mean_tfidf,lift_vs_other
Media,1,iran,0.085219,0.059344,1.436
Media,2,lebanon,0.037575,0.027742,1.354
Media,3,israeli,0.03576,0.040977,0.873
Media,4,iranian,0.035542,0.040439,0.879
Media,5,war,0.033265,0.028725,1.158
Media,6,ceasefire,0.033252,0.020663,1.609
Media,7,talks,0.032071,0.016957,1.891
Media,8,trump,0.031488,0.028982,1.086
Media,9,president,0.028038,0.018777,1.493
Media,10,strait,0.025583,0.016756,1.527
Media,11,islamabad,0.024839,0.017857,1.391
Media,12,us-israeli,0.024642,0.018254,1.35
Media,13,hormuz,0.02359,0.016504,1.429
Media,14,irgc,0.019912,0.006002,3.317
Media,15,minister,0.019421,0.010916,1.779
Text-only,1,iran,0.059344,0.085219,0.696
Text-only,2,israeli,0.040977,0.03576,1.146
Text-only,3,iranian,0.040439,0.035542,1.138
Text-only,4,leader,0.029728,0.018428,1.613
Text-only,5,tehran,0.029241,0.01154,2.534
Text-only,6,trump,0.028982,0.031488,0.92
Text-only,7,war,0.028725,0.033265,0.864
Text-only,8,lebanon,0.027742,0.037575,0.738
Text-only,9,islamic,0.026816,0.018829,1.424
Text-only,10,southern,0.025733,0.012244,2.102
Text-only,11,ayatollah,0.025679,0.009767,2.629
Text-only,12,khamenei,0.025131,0.009314,2.698
Text-only,13,people,0.023276,0.010568,2.203
Text-only,14,forces,0.022151,0.014778,1.499
Text-only,15,ali,0.021565,0.008127,2.654
