rank,bigram,pmi,frequency,message_count,contains_entity_term,network_score,first_seen,last_seen,example_message_id,example_timestamp,example_text,word_1,word_2
1,khatam anbiya,11.60594243962537,5,5,False,58.029712198126845,2026-04-07 20:26:59+00:00,2026-04-13 11:33:51+00:00,184347,2026-04-07 20:26:59+00:00,"Spokesperson of the Khatam al-Anbiya Central Headquarters: The Iranian armed forces will take action against the infrastructure of the US and its allies,...",khatam,anbiya
2,max blumenthal,11.60594243962537,5,5,False,58.029712198126845,2026-04-07 10:07:58+00:00,2026-04-13 05:10:22+00:00,184253,2026-04-07 10:07:58+00:00,🔸Jews of Iran - Part 1🔸 On the Brink: Why I Came to Iran Jewish American journalist Max Blumenthal arrives in Iran as war with Israel looms. Amid Western...,max,blumenthal
3,maryam azarchehr,11.342908033791574,5,5,False,56.71454016895787,2026-04-07 12:28:12+00:00,2026-04-12 18:16:46+00:00,184271,2026-04-07 12:28:12+00:00,"Press TV's Maryam Azarchehr says Iranian armed forces were ready for the US operation in Isfahan based on received intelligence, suggesting earlier remarks...",maryam,azarchehr
4,aqsa mosque,11.120515612455126,5,4,False,55.602578062275626,2026-04-10 05:56:07+00:00,2026-04-14 09:55:11+00:00,184773,2026-04-10 05:56:07+00:00,Hundreds of worshipers performed dawn prayers at Al-Aqsa Mosque in occupied al-Quds after 40 days of closure by Israeli occupation during the war on Iran....,aqsa,mosque
5,bagher ghalibaf,10.92787053451273,7,7,False,76.4950937415891,2026-04-08 18:30:01+00:00,2026-04-11 17:16:01+00:00,184507,2026-04-08 18:30:01+00:00,📸 Speaker of Iran's Parliament Mohammad Bagher Ghalibaf issues a statement on the violation of three key clauses in the 10-point ceasefire agreement. @PressTV,bagher,ghalibaf
6,naim qassem,10.75794553307042,9,9,False,96.82150979763378,2026-04-10 09:22:28+00:00,2026-04-13 23:14:38+00:00,184798,2026-04-10 09:22:28+00:00,🔴 Hezbollah Secretary General Sheikh Naim Qassem to deliver a speech on the latest developments in Lebanon and the region at 1:00 PM GMT @PressTV,naim,qassem
7,nationwide nightly,10.75794553307042,5,5,False,53.789727665352096,2026-04-10 18:10:01+00:00,2026-04-11 19:46:31+00:00,184881,2026-04-10 18:10:01+00:00,▶️ Iranian patriots continue nationwide nightly rallies in support of the Islamic Republic and the Iranian Armed Forces. @PressTV,nationwide,nightly
8,shehbaz sharif,10.468438915875435,9,9,False,94.21595024287892,2026-04-07 23:56:03+00:00,2026-04-11 12:53:54+00:00,184372,2026-04-07 23:56:03+00:00,"🇵🇰 Pakistan’s Prime Minister Shehbaz Sharif: I am pleased to announce that the Islamic Republic of Iran and the United States of America, along with their...",shehbaz,sharif
9,tel aviv,10.468438915875433,10,10,False,104.68438915875433,2026-04-07 06:27:59+00:00,2026-04-13 05:10:22+00:00,184228,2026-04-07 06:27:59+00:00,"Air raid sirens blared across the occupied territories including Tel Aviv, Eilat, and the Wadi Araba region following a missile launch from Iran. @PressTV",tel,aviv
10,west asia,10.44244370734249,5,5,False,52.21221853671245,2026-04-10 08:04:43+00:00,2026-04-14 05:45:02+00:00,184791,2026-04-10 08:04:43+00:00,"✍️ Feature - How Iran decimated US power projection in West Asia: Military lessons of 40-day war Iran’s asymmetric strategy – high-precision missiles, anti-...",west,asia
11,white house,10.44244370734249,5,4,False,52.21221853671245,2026-04-07 14:59:01+00:00,2026-04-14 16:59:41+00:00,184302,2026-04-07 14:59:01+00:00,"Congresswoman Rashida Tlaib demands activation of 25th amendment against Trump: After bombing a school and massacring young girls, the war criminal in the...",white,house
12,raid sirens,10.342908033791574,10,10,False,103.42908033791574,2026-04-07 06:27:59+00:00,2026-04-14 00:35:00+00:00,184228,2026-04-07 06:27:59+00:00,"Air raid sirens blared across the occupied territories including Tel Aviv, Eilat, and the Wadi Araba region following a missile launch from Iran. @PressTV",raid,sirens
13,nightly rallies,10.272518705900175,5,5,False,51.36259352950088,2026-04-10 18:10:01+00:00,2026-04-11 19:46:31+00:00,184881,2026-04-10 18:10:01+00:00,▶️ Iranian patriots continue nationwide nightly rallies in support of the Islamic Republic and the Iranian Armed Forces. @PressTV,nightly,rallies
14,residential building,10.190904940346524,6,6,False,61.145429642079144,2026-04-08 20:11:26+00:00,2026-04-14 02:45:10+00:00,184522,2026-04-08 20:11:26+00:00,Moment an Israeli airstrike hit a residential building in Beirut’s southern suburbs. @PressTV,residential,building
15,transit stunt,10.079873627957781,5,5,False,50.399368139788905,2026-04-12 12:08:36+00:00,2026-04-14 05:25:41+00:00,185150,2026-04-12 12:08:36+00:00,"🔺 Press TV Exclusive: US destroyers' Strait of Hormuz transit stunt failed, came close to destruction The US military’s attempt to sail two destroyers...",transit,stunt
16,red crescent,10.020979938904212,8,7,False,80.1678395112337,2026-04-08 10:40:12+00:00,2026-04-13 21:34:10+00:00,184426,2026-04-08 10:40:12+00:00,▶️ Red Crescent teams saved an Iranian from the rubble of a residence destroyed in a US-Israeli aggression. @PressTV,red,crescent
17,sheikh naim,10.020979938904212,6,6,False,60.12587963342527,2026-04-10 09:22:28+00:00,2026-04-13 23:14:38+00:00,184798,2026-04-10 09:22:28+00:00,🔴 Hezbollah Secretary General Sheikh Naim Qassem to deliver a speech on the latest developments in Lebanon and the region at 1:00 PM GMT @PressTV,sheikh,naim
18,kamal kharazi,10.020979938904212,5,5,False,50.10489969452106,2026-04-09 21:50:20+00:00,2026-04-10 16:39:59+00:00,184703,2026-04-09 21:50:20+00:00,🔺 Iran's Vice President Mohammad Reza Aref issues a statement offering his condolences following the news of the martyrdom of former-Foreign Minister Seyyed...,kamal,kharazi
19,reza aref,9.950590611012814,8,8,False,79.60472488810251,2026-04-08 08:35:16+00:00,2026-04-14 16:59:41+00:00,184417,2026-04-08 08:35:16+00:00,"📷 Iranian Vice President Mohammad Reza Aref: Good morning to victory! Today, history has turned a new page—the world has welcomed a new center of power, and...",reza,aref
20,negotiating team,9.927870534512731,5,5,False,49.63935267256366,2026-04-10 19:52:02+00:00,2026-04-12 14:12:03+00:00,184891,2026-04-10 19:52:02+00:00,Iran's negotiating team led by Parliament Speaker Mohammad Baqer Qalibaf arrives in Islamabad @PressTV,negotiating,team
21,persian gulf,9.898123191118678,12,12,False,118.77747829342414,2026-04-07 19:27:52+00:00,2026-04-14 12:20:05+00:00,184341,2026-04-07 19:27:52+00:00,Angry Iraqi civilians removed the Kuwaiti flag from the top of the Persian Gulf monarchy's consulate in the Iraqi city of Basra following a rocket attack...,persian,gulf
22,year old,9.898123191118678,6,6,False,59.38873914671207,2026-04-07 09:56:25+00:00,2026-04-13 22:52:02+00:00,184252,2026-04-07 09:56:25+00:00,"🎥 Gisha 🔻After a missile strike hits a Tehran neighborhood, an 11-year-old volunteer helps families clean up shattered homes, capturing the fear, loss, and...",year,old
23,kamal kharrazi,9.828334860961814,7,5,False,68.79834402673269,2026-04-09 21:15:01+00:00,2026-04-10 23:29:01+00:00,184700,2026-04-09 21:15:01+00:00,"📸 Seyyed Kamal Kharrazi, Iran's former Foreign Minister and foreign policy advisor to Iran's Leader, has attained martyrdom following the US-Israeli...",kamal,kharrazi
24,discuss latest,9.664836128678937,5,5,False,48.32418064339468,2026-04-08 12:45:36+00:00,2026-04-11 20:00:12+00:00,184443,2026-04-08 12:45:36+00:00,📸 Iran's President Pezeshkian holds a phone conversation with Azerbaijani President Aliyev to discuss the latest regional developments. 🔹 President Aliyev...,discuss,latest
25,jewish community,9.664836128678937,5,4,False,48.32418064339468,2026-04-07 11:10:07+00:00,2026-04-08 09:50:16+00:00,184261,2026-04-07 11:10:07+00:00,"Rabbi Younes Hammami Lalezar, leader of Iran's Jewish community, stands before the ruins of a synagogue in central Tehran destroyed by US-Israeli bombing, a...",jewish,community
26,leo xiv,9.573027817152633,13,12,False,124.44936162298423,2026-04-07 19:17:01+00:00,2026-04-14 10:25:01+00:00,184340,2026-04-07 19:17:01+00:00,Pope Leo XIV says that Trump's threat to destroy Iranian civilization is “truly unacceptable” and that any attacks on civilian infrastructure violate...,leo,xiv
27,truce breach,9.535553111733972,5,5,False,47.67776555866986,2026-04-09 21:52:58+00:00,2026-04-13 23:41:02+00:00,184704,2026-04-09 21:52:58+00:00,"April 9: Hezbollah’s operations against the Zionist regime in response to the truce breach Hours after the Iran-US ceasefire following 40 days of aggression,...",truce,breach
28,guards corps,9.468438915875433,19,19,False,179.90033940163323,2026-04-07 11:50:04+00:00,2026-04-13 19:07:07+00:00,184266,2026-04-07 11:50:04+00:00,"Wave 99: IRGC pounds US petchem sites, vows 'no restraint’ if Iranian infrastructure hit The Islamic Revolution Guards Corps (IRGC) has pounded US-owned...",guards,corps
29,came close,9.468438915875433,5,5,False,47.342194579377164,2026-04-12 12:08:36+00:00,2026-04-14 05:25:41+00:00,185150,2026-04-12 12:08:36+00:00,"🔺 Press TV Exclusive: US destroyers' Strait of Hormuz transit stunt failed, came close to destruction The US military’s attempt to sail two destroyers...",came,close
30,damage caused,9.468438915875433,5,3,False,47.342194579377164,2026-04-07 10:59:33+00:00,2026-04-14 11:05:01+00:00,184258,2026-04-07 10:59:33+00:00,▶️ Footage shows the extent of damage caused by Iranian missile strikes on Tel Aviv. @PressTV,damage,caused
31,anbiya central,9.40430857845572,5,5,False,47.021542892278596,2026-04-07 20:26:59+00:00,2026-04-13 11:33:51+00:00,184347,2026-04-07 20:26:59+00:00,"Spokesperson of the Khatam al-Anbiya Central Headquarters: The Iranian armed forces will take action against the infrastructure of the US and its allies,...",anbiya,central
32,baqer qalibaf,9.342908033791575,9,9,False,84.08617230412418,2026-04-09 21:30:01+00:00,2026-04-13 02:21:40+00:00,184701,2026-04-09 21:30:01+00:00,Lebanon inseparable part of Iran’s 10-point ceasefire plan: Qalibaf Iran’s Parliament Speaker Mohammad Baqer Qalibaf says Lebanon is an inseparable part of...,baqer,qalibaf
33,brigadier general,9.342908033791575,8,8,False,74.7432642703326,2026-04-08 16:16:39+00:00,2026-04-13 17:30:38+00:00,184481,2026-04-08 16:16:39+00:00,"📸 In his latest post, Commander of the IRGC's Aerospace Force, Brigadier General Seyyed Majid Mousavi, says an attack on Hezbollah is an attack on Iran,...",brigadier,general
34,tehran's enghelab,9.31316069039752,6,6,False,55.87896414238512,2026-04-08 01:58:20+00:00,2026-04-13 23:04:02+00:00,184389,2026-04-08 01:58:20+00:00,"🇮🇷 Press TV's correspondent reports from Tehran's Enghelab Square, where a huge crowd has gathered to celebrate Iran's triumph over its enemies. @PressTV",tehran's,enghelab
35,phone conversation,9.284014344738006,9,9,False,83.55612910264206,2026-04-08 12:45:36+00:00,2026-04-14 05:45:02+00:00,184443,2026-04-08 12:45:36+00:00,📸 Iran's President Pezeshkian holds a phone conversation with Azerbaijani President Aliyev to discuss the latest regional developments. 🔹 President Aliyev...,phone,conversation
36,oil refinery,9.284014344738006,5,4,False,46.42007172369003,2026-04-08 10:31:05+00:00,2026-04-10 04:03:41+00:00,184425,2026-04-08 10:31:05+00:00,"🔴 In violation of the ceasefire, US-Israeli forces targeted the Lavan Oil Refinery on Lavan Island. At present, safety and firefighting teams are working to...",oil,refinery
37,pope leo,9.206011832736733,18,16,False,165.7082129892612,2026-04-07 19:17:01+00:00,2026-04-14 14:54:41+00:00,184340,2026-04-07 19:17:01+00:00,Pope Leo XIV says that Trump's threat to destroy Iranian civilization is “truly unacceptable” and that any attacks on civilian infrastructure violate...,pope,leo
38,tv's maryam,9.172983032349261,6,6,False,55.03789819409557,2026-04-07 12:28:12+00:00,2026-04-12 18:16:46+00:00,184271,2026-04-07 12:28:12+00:00,"Press TV's Maryam Azarchehr says Iranian armed forces were ready for the US operation in Isfahan based on received intelligence, suggesting earlier remarks...",tv's,maryam
39,air defenses,9.120515612455126,5,5,False,45.602578062275626,2026-04-07 15:20:02+00:00,2026-04-10 18:05:03+00:00,184304,2026-04-07 15:20:02+00:00,Israel’s air defenses overwhelmed by cluster-warhead Iranian missiles: Reports Iran’s changing tactics in firing missiles toward the Israeli-occupied...,air,defenses
40,forced accept,9.079873627957781,5,5,False,45.399368139788905,2026-04-07 23:32:04+00:00,2026-04-08 11:46:06+00:00,184366,2026-04-07 23:32:04+00:00,"Iran declares 'historic victory' over US, says enemy forced to accept its proposal Iran has declared a ""historic and crushing defeat"" of the United States...",forced,accept
41,hezbollah's operations,9.079873627957781,5,5,False,45.399368139788905,2026-04-09 21:52:58+00:00,2026-04-13 23:41:02+00:00,184704,2026-04-09 21:52:58+00:00,"April 9: Hezbollah’s operations against the Zionist regime in response to the truce breach Hours after the Iran-US ceasefire following 40 days of aggression,...",hezbollah's,operations
42,abbas araghchi,9.020979938904212,25,22,False,225.5244984726053,2026-04-07 23:40:47+00:00,2026-04-14 10:35:04+00:00,184370,2026-04-07 23:40:47+00:00,"Iran FM Abbas Araghchi: If attacks against Iran are halted, our Powerful Armed Forces will cease their defensive operations. @PressTV",abbas,araghchi
43,solemn ceremony,9.001871115956508,5,5,False,45.009355579782536,2026-04-09 14:10:01+00:00,2026-04-10 13:11:14+00:00,184651,2026-04-09 14:10:01+00:00,▶️ More footage of the massive solemn ceremony held in Tehran to mark the 40th day of mourning for the late Leader of the Islamic Revolution Ayatollah Seyyed...,solemn,ceremony
44,air raid,8.994984730371268,11,11,False,98.94483203408394,2026-04-07 06:27:59+00:00,2026-04-14 00:35:00+00:00,184228,2026-04-07 06:27:59+00:00,"Air raid sirens blared across the occupied territories including Tel Aviv, Eilat, and the Wadi Araba region following a missile launch from Iran. @PressTV",air,raid
45,mohammad baqer,8.973674224125856,9,9,False,80.76306801713271,2026-04-09 21:30:01+00:00,2026-04-13 02:21:40+00:00,184701,2026-04-09 21:30:01+00:00,Lebanon inseparable part of Iran’s 10-point ceasefire plan: Qalibaf Iran’s Parliament Speaker Mohammad Baqer Qalibaf says Lebanon is an inseparable part of...,mohammad,baqer
46,mohammad bagher,8.973674224125856,8,8,False,71.78939379300685,2026-04-08 18:30:01+00:00,2026-04-11 17:16:01+00:00,184507,2026-04-08 18:30:01+00:00,📸 Speaker of Iran's Parliament Mohammad Bagher Ghalibaf issues a statement on the violation of three key clauses in the 10-point ceasefire agreement. @PressTV,mohammad,bagher
47,school minab,8.964396410537844,5,5,False,44.82198205268922,2026-04-09 02:50:55+00:00,2026-04-13 12:58:19+00:00,184578,2026-04-09 02:50:55+00:00,"An Iraqi father named his daughter Minab to honor the memory of the schoolchildren martyred in Minab. On February 28, US-Israeli strikes on a primary school...",school,minab
48,occupied territories,8.950590611012814,8,8,False,71.60472488810251,2026-04-07 06:27:59+00:00,2026-04-12 04:17:38+00:00,184228,2026-04-07 06:27:59+00:00,"Air raid sirens blared across the occupied territories including Tel Aviv, Eilat, and the Wadi Araba region following a missile launch from Iran. @PressTV",occupied,territories
49,ministry spokesman,8.927870534512731,8,8,False,71.42296427610185,2026-04-11 15:20:48+00:00,2026-04-14 09:55:11+00:00,185003,2026-04-11 15:20:48+00:00,"📸 Iran's Foreign Ministry spokesman says that while US authorities accuse Iran of lacking “good faith”, US policy and media space are recommending the...",ministry,spokesman
50,northern occupied,8.914064734987699,13,13,False,115.88284155484008,2026-04-07 09:23:55+00:00,2026-04-14 00:35:00+00:00,184245,2026-04-07 09:23:55+00:00,"▶️ Thick smoke rise from the impact site of Hezbollah rocket strikes in Nahariya, in the northern occupied territories. @PressTV",northern,occupied
51,point proposal,8.828334860961814,7,6,False,61.79834402673269,2026-04-08 14:20:30+00:00,2026-04-11 14:54:50+00:00,184467,2026-04-08 14:20:30+00:00,"✍ Explainer: Iran's 10-point proposal that forced US surrender after 40 days of aggression After 40 days of the imposed war, the US was forced to retreat and...",point,proposal
52,close destruction,8.790367010762797,5,5,False,43.95183505381398,2026-04-12 12:08:36+00:00,2026-04-14 05:25:41+00:00,185150,2026-04-12 12:08:36+00:00,"🔺 Press TV Exclusive: US destroyers' Strait of Hormuz transit stunt failed, came close to destruction The US military’s attempt to sail two destroyers...",close,destruction
53,occupied palestine,8.757945533070417,14,14,False,122.61123746298584,2026-04-07 19:51:01+00:00,2026-04-14 00:35:00+00:00,184344,2026-04-07 19:51:01+00:00,Iranian missile successfully obliterates its target in the occupied Palestine. @PressTV,occupied,palestine
54,global economy,8.667342984289512,6,5,False,52.00405790573707,2026-04-07 21:07:01+00:00,2026-04-14 15:15:01+00:00,184352,2026-04-07 21:07:01+00:00,"""There will be a complete reset of the global economy"" Scott Ritter says if the US attacks Iranian infrastructure, Iran will destroy regional energy and...",global,economy
55,secretary general,8.664836128678937,10,10,False,86.64836128678937,2026-04-08 12:50:06+00:00,2026-04-13 23:14:38+00:00,184444,2026-04-08 12:50:06+00:00,"▶️ UN Secretary‑General António Guterres welcomed the newly announced two‑week ceasefire between the United States and Iran, calling it a crucial step toward...",secretary,general
56,masoud pezeshkian,8.618881495332865,14,14,False,120.6643409346601,2026-04-07 12:40:03+00:00,2026-04-14 00:07:04+00:00,184272,2026-04-07 12:40:03+00:00,"Pezeshkian joins over 14 million—and counting—in pledging lives for homeland President Masoud Pezeshkian has added his name to an ever-growing, 14-million-...",masoud,pezeshkian
57,general sheikh,8.605942439625366,6,6,False,51.6356546377522,2026-04-10 09:22:28+00:00,2026-04-13 23:14:38+00:00,184798,2026-04-10 09:22:28+00:00,🔴 Hezbollah Secretary General Sheikh Naim Qassem to deliver a speech on the latest developments in Lebanon and the region at 1:00 PM GMT @PressTV,general,sheikh
58,quds force,8.590000895756347,9,6,False,77.31000806180712,2026-04-09 12:29:45+00:00,2026-04-13 11:20:01+00:00,184639,2026-04-09 12:29:45+00:00,Commander of IRGC Quds force praises resistance forces for delivering ‘regret-inducing’ response to enemies The commander of the Quds Force of the Islamic...,quds,force
59,april hezbollah's,8.556311671900769,5,5,False,42.78155835950385,2026-04-09 21:52:58+00:00,2026-04-13 23:41:02+00:00,184704,2026-04-09 21:52:58+00:00,"April 9: Hezbollah’s operations against the Zionist regime in response to the truce breach Hours after the Iran-US ceasefire following 40 days of aggression,...",april,hezbollah's
60,take part,8.542439497319211,5,5,False,42.712197486596054,2026-04-10 12:40:01+00:00,2026-04-13 20:47:14+00:00,184826,2026-04-10 12:40:01+00:00,📸 People of Kashmir take part in rally held to mourn the 40th day since the maryrdom of Iranian students killed in the US-Israeli airstrike on the elementary...,take,part
61,express support,8.535553111733972,5,5,False,42.67776555866986,2026-04-10 09:11:23+00:00,2026-04-14 03:40:03+00:00,184797,2026-04-10 09:11:23+00:00,"Yemenis take to the streets in Saada to express support for Iran, Iraq, Palestine and Lebanon as a united front confronting US-Israeli aggression @PressTV",express,support
62,naval blockade,8.518479598375027,14,14,False,119.25871437725039,2026-04-12 09:45:02+00:00,2026-04-14 15:15:01+00:00,185125,2026-04-12 09:45:02+00:00,Latest X post by Iran's Embassy in Austria on Trump threatening a naval blockade after failed Tehran-Washington talks: A simple explanation for those...,naval,blockade
63,mohammad reza,8.488247396955614,10,9,False,84.88247396955614,2026-04-08 08:35:16+00:00,2026-04-14 16:59:41+00:00,184417,2026-04-08 08:35:16+00:00,"📷 Iranian Vice President Mohammad Reza Aref: Good morning to victory! Today, history has turned a new page—the world has welcomed a new center of power, and...",mohammad,reza
64,new york,8.373281682835094,5,4,False,41.86640841417547,2026-04-10 02:15:07+00:00,2026-04-14 08:10:05+00:00,184748,2026-04-10 02:15:07+00:00,"▶️ ""Donald Trump has failed America"" House Minority Leader Hakeem Jeffries slams President Trump’s foreign policy as New York Democrats move to force a vote...",new,york
65,senior advisor,8.342908033791574,5,5,False,41.71454016895787,2026-04-07 20:25:07+00:00,2026-04-12 14:50:38+00:00,184346,2026-04-07 20:25:07+00:00,"US will burn in ‘regional inferno’ in case of reckless move, warns advisor to Leader A senior advisor to the Leader of the Islamic Revolution warns that the...",senior,advisor
