component_index,thread_size,thread_depth,component_total_nodes,external_node_count,reply_messages,messages_receiving_replies,root_message_id,root_in_dataset,root_preview,first_timestamp,last_timestamp,top_replied_message_id,top_replied_count,is_isolated,component_nodes,dataset_message_ids,thread_rank,thread_label
293,22,7,22,0,21,10,184568,True,"Tehran residents thronged Enghelab Square to mark the 40th day of mourning for Ayatollah Khamenei, the late...",2026-04-09 02:45:00+00:00,2026-04-09 11:09:59+00:00,184607,8,False,"(184568, 184586, 184588, 184593, 184594, 184595, 184596, 184607, 184609, 184612, 184613, 184614, 184615, 184616, 184617, 184618, 184619, 184621, 184623, 184624, 184625, 184629)","(184568, 184586, 184588, 184593, 184594, 184595, 184596, 184607, 184609, 184612, 184613, 184614, 184615, 184616, 184617, 184618, 184619, 184621, 184623, 184624, 184625, 184629)",1,T001
346,9,2,9,0,8,2,184649,True,▶️ Thousands of mourners gather at Isfahan's Naghsh-e Jahan Sq. to mark the 40th-day mourning ceremony for...,2026-04-09 13:55:44+00:00,2026-04-09 20:46:35+00:00,184654,7,False,"(184649, 184654, 184692, 184693, 184694, 184695, 184696, 184697, 184698)","(184649, 184654, 184692, 184693, 184694, 184695, 184696, 184697, 184698)",2,T002
901,9,2,9,0,8,2,185302,True,"The Handala hacking group announced that it carried out a large-scale retaliatory cyber operation,...",2026-04-13 14:41:17+00:00,2026-04-13 20:34:25+00:00,185302,7,False,"(185302, 185326, 185327, 185328, 185329, 185330, 185331, 185332, 185357)","(185302, 185326, 185327, 185328, 185329, 185330, 185331, 185332, 185357)",3,T003
4,8,4,8,0,7,4,184230,True,▶️ Iranian missiles streaking across the sky over the occupied territories. @PressTV,2026-04-07 06:39:23+00:00,2026-04-07 10:59:33+00:00,184232,3,False,"(184230, 184232, 184236, 184237, 184238, 184244, 184258, 184259)","(184230, 184232, 184236, 184237, 184238, 184244, 184258, 184259)",4,T004
23,7,2,7,0,6,3,184263,True,Press TV Exclusive: US suffered major strategic defeat in the failed Isfahan operation Information obtained...,2026-04-07 11:27:39+00:00,2026-04-08 12:15:18+00:00,184263,3,False,"(184263, 184264, 184267, 184271, 184279, 184420, 184439)","(184263, 184264, 184267, 184271, 184279, 184420, 184439)",5,T005
368,6,2,6,0,5,3,184675,True,"🔴 Iran's Leader of the Islamic Revolution, Seyyed Mojtaba Khamenei, issues a message on the occasion of the...",2026-04-09 17:40:44+00:00,2026-04-10 02:02:59+00:00,184675,3,False,"(184675, 184677, 184679, 184685, 184686, 184747)","(184675, 184677, 184679, 184685, 184686, 184747)",6,T006
268,5,4,5,0,4,4,184541,True,First moments after Israeli forces targeted a residential building in the Shiyyah area of Beirut’s southern...,2026-04-08 22:38:52+00:00,2026-04-09 06:38:54+00:00,184541,1,False,"(184541, 184544, 184587, 184589, 184592)","(184541, 184544, 184587, 184589, 184592)",7,T007
846,5,4,5,0,4,4,185239,True,'Not a fan of Pope': Trump attacks Catholic leader following criticism over US-Israeli war on Iran US...,2026-04-13 06:04:25+00:00,2026-04-14 10:25:01+00:00,185239,1,False,"(185239, 185273, 185300, 185334, 185428)","(185239, 185273, 185300, 185334, 185428)",8,T008
635,4,2,4,0,3,2,184992,True,📸 Nizar Amidi has been elected as the new President of Iraq. @PressTV,2026-04-11 14:36:12+00:00,2026-04-12 08:22:03+00:00,185028,2,False,"(184992, 185028, 185038, 185120)","(184992, 185028, 185038, 185120)",9,T009
687,4,2,4,0,3,2,185055,True,📸 Iran's Islamic Revolution Guards Corps (IRGC) issues a statement strongly denying the claims about the...,2026-04-11 21:15:10+00:00,2026-04-12 10:06:15+00:00,185055,2,False,"(185055, 185063, 185114, 185130)","(185055, 185063, 185114, 185130)",10,T010
